3,6,0,5.0990195135927845
4,3,0,4.47213595499958
5,4,0,3.16227766016838
6,7,0,6.32455532033676
7,21,0,6.082762530298219
9,13,0,21.540659228537606
10,9,0,2.23606797749979
13,5,0,36.87817782917193
14,28,0,37.94733192202102
17,10,0,8.94427190999916
18,20,0,12.649110640674621
19,23,0,4.123105625617661
20,19,0,2.23606797749979
21,18,0,21.540659228537606
22,17,0,3.605551275463989
23,27,0,7.211102550927978
25,26,0,4.123105625617661
26,22,0,24.331050121193698
27,25,0,8.94427190999916
28,14,0,37.94733192202102
3,4,1,4.47213595499958
4,5,1,3.16227766016838
5,13,1,36.87817782917193
6,3,1,5.0990195135927845
7,6,1,6.32455532033676
9,10,1,2.23606797749979
10,17,1,8.94427190999916
13,9,1,21.540659228537606
14,16,1,16.97056274847739
16,14,1,16.97056274847739
17,22,1,3.605551275463989
18,21,1,21.540659228537606
19,20,1,2.23606797749979
20,18,1,12.649110640674621
21,7,1,6.082762530298219
22,26,1,24.331050121193698
23,19,1,4.123105625617661
25,27,1,8.94427190999916
26,25,1,4.123105625617661
27,23,1,7.211102550927978
1,26,2,24.041630560342615
5,13,2,9.219544457292887
13,5,2,9.219544457292887
18,21,2,5.385164807134504
19,20,2,2.23606797749979
20,18,2,3.16227766016838
21,1,2,15.811388300841896
22,24,2,2.8284271247461903
23,19,2,4.123105625617661
24,27,2,7.211102550927978
26,22,2,6.082762530298219
27,23,2,7.211102550927978
1,21,3,15.811388300841896
9,13,3,5.385164807134504
13,9,3,5.385164807134504
18,20,3,3.16227766016838
19,23,3,4.123105625617661
20,19,3,2.23606797749979
21,18,3,5.385164807134504
22,26,3,6.082762530298219
23,27,3,7.211102550927978
24,22,3,2.8284271247461903
26,1,3,24.041630560342615
27,24,3,7.211102550927978
3,4,4,4.47213595499958
4,5,4,3.16227766016838
5,13,4,9.219544457292887
6,3,4,5.0990195135927845
7,6,4,6.32455532033676
10,17,4,8.94427190999916
13,10,4,4.242640687119285
14,28,4,9.486832980505138
17,22,4,3.605551275463989
19,21,4,4.47213595499958
21,7,4,6.082762530298219
22,24,4,2.8284271247461903
23,19,4,4.123105625617661
24,27,4,7.211102550927978
27,23,4,7.211102550927978
28,14,4,9.486832980505138
9,13,5,5.385164807134504
13,9,5,5.385164807134504
